"Request Date","Accepted Date","Order ID","Customer Name","Customer Number","Return AWB","Settlement Method","Auto Settlement","Return Status","Request Source"
"25 Oct 2023","25 Oct 2023","R_NS0881698241786914","Pickup failed third","9591568469","DUMU9UL7ZDU6","REFUND","No","return_cancelled","web"
"26 Oct 2023","26 Oct 2023","R_NS0881698241786914_1","Pickup failed third","9591568469","DUMTGECBYYOQ","REFUND","Yes","return_created","dashboard"
"27 Oct 2023","21 Nov 2023","R_NS26U1698320686376","Pickup failed five","9591568469","5783875033","REFUND","Yes","return_cancelled","web"
"31 Oct 2023","31 Oct 2023","R_NSD1698654556344","Nitin testing six","9008271004","DUMFS8UF6NZ4","REPLACE","NA","return_created","dashboard"
"31 Oct 2023","31 Oct 2023","R_NS05T1698741786330","For testing ddd","9888666652","DUMSLM3FEIKY","REFUND","No","pickup_failed","dashboard"
"01 Nov 2023","22 Nov 2023","R_NS0HW1698648297185","for testing ","9591568469","DUM61HJYS4OR","REFUND","Yes","return_created","dashboard"
"02 Nov 2023","22 Nov 2023","R_NS07P1698903430722","FOr testig the feature ","9591568469","DUMPSGYBDKET","REFUND","Yes","return_created","web"
"02 Nov 2023","02 Nov 2023","R_NS0Q81698671815497","for tsting jkhg","9591930400","DUMR65LMAHSF","REFUND","Yes","return_created","dashboard"
"02 Nov 2023","02 Nov 2023","R_NS0ZO1698671086198","for tsting ","9591930400","DUMW5SDVV1ML","REPLACE","NA","return_created","dashboard"
"02 Nov 2023","02 Nov 2023","R_NSW1698661679087","Automation TestingAutomation TestingAutomation Testing","9003202345","DUM1HSDE4K8J","REFUND","Yes","return_created","dashboard"
"02 Nov 2023","09 Nov 2023","R_NS0E61698648288301","for testing ","9591568469","DUMITPSAEMYA","REFUND","Yes","return_created","dashboard"
"02 Nov 2023","02 Nov 2023","R_NS0AJ1698648262023","for testing ","9591568469","5783875037","REFUND","No","return_cancelled","dashboard"
"02 Nov 2023","06 Nov 2023","R_NS0HT1698648266165","for testing ","9591568469","DUMLACSU9DXE","REFUND","Yes","return_created","dashboard"
"03 Nov 2023","03 Nov 2023","R_NS0WT1699016571520","Pickup failed testing three","9008271003","DUMABCQH4QT9","REFUND","No","return_cancelled","dashboard"
"08 Nov 2023","08 Nov 2023","R_NS0Y91699445214278","Real aaAWB testi","9591568469","DUMAJ03N91V6","REPLACE","NA","pickup_failed","web"
"08 Nov 2023","27 Nov 2023","R_NS0WV1699448535618","sdfasf","9399929493","R712627342WMA","REPLACE","NA","return_created","web"
"08 Nov 2023","08 Nov 2023","R_NS01C1699449104011_1","Real aaAWB testisjshgsjkhk","9591568469",,"REFUND","NA","return_cancelled","web"
"08 Nov 2023","08 Nov 2023","R_NS03K1699454249946","Real aaAWB testisdsaaa","9591568469","R699343587WMA","REFUND","Yes","return_cancelled","web"
"09 Nov 2023","","R_NS0AO1699508908526_2","Replace flow check ","9591568469",,"REFUND","NA","return_cancelled","web"
"20 Nov 2023","21 Nov 2023","R_NS0UM1699529333139_1","Monetisation check ","9591568469",,"REFUND","NA","return_cancelled","web"
"21 Nov 2023","24 Nov 2023","R_NS0ZG1700566627232","Shipment commission Onss","9591568469","5802749487","REFUND","No","pickup_failed","web"
"22 Nov 2023","","R_NS09M1700568921525","Shipment caaaommissis","9591568469",,"REFUND","NA","return_cancelled","web"
"22 Nov 2023","22 Nov 2023","R_NS00N1700568887538","Shipment commissis","9591568469","DUMYR3WTOZ94","REFUND","Yes","pickup_failed","web"
"22 Nov 2023","22 Nov 2023","R_NS09M1700568921525_1","Shipment caaaommissis","9591568469","DUM9SRBHYZ4K","REFUND","Yes","pickup_failed","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS09M1700568921525_2","Shipment caaaommissis","9591568469","DUM1QFUYFDGZ","REFUND","Yes","return_created","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0Z21700645574899_1","shipping commisaaaa","9591568469","DUMP9S8K6CHU","REFUND","Yes","return_created","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0VN1700750053239_1","Nasadss","8300953134","DUM2OGE3L2R1","REFUND","Yes","pickup_pending","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0KQ1700645422168_2","shipping commisswww","9591568469","DUM88GPF4UFV","REFUND","Yes","return_dispatched","web"
"24 Nov 2023","24 Nov 2023","R_NS0L41700566790960_3","Shipment commississon Onss","9591568469","DUMD38PH08QH","REFUND","Yes","return_dispatched","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0L41700566790960_5","Shipment commississon Onss","9591568469","DUM5LF433V1U","REFUND","Yes","return_dispatched","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0L41700566790960_6","Shipment commississon Onss","9591568469","DUMGH60NJAKE","REFUND","Yes","return_dispatched","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0HX1700813697967","Return Check one ","9591568469","R709669996WMA","REFUND","No","pickup_failed","web"
"24 Nov 2023","24 Nov 2023","R_NS0M51700822213743","Return Check six","9591568469","5802749489","REFUND","Yes","pickup_failed","web"
"24 Nov 2023","27 Nov 2023","R_NSD1700818493063","Return Check tfour","9591568469","R709692785WMA","REPLACE","NA","return_cancelled","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0R71700654298008_1","shipping commjkaa","9591568469","DUMFTZXVCM3F","REFUND","No","return_dispatched","dashboard"
"24 Nov 2023","24 Nov 2023","R_NS0P11700822391585_1","Return Check seven","9591568469","R709742328WMA","REFUND","Yes","return_cancelled","dashboard"
"27 Nov 2023","27 Nov 2023","R_NS0DE1701093772785","Invoice Check tthree","9591568469","R712629485WMA","REFUND","No","pickup_failed","web"
"30 Nov 2023","05 Dec 2023","R_NS0X91701152318946","credit note cancellation two ","9591568469","DUMRE66GF0J3","REFUND","No","return_dispatched","web"
"06 Dec 2023","06 Dec 2023","R_NS07K1697457719148","Nitin Testing two","9148091480","DUMT1OJOTBJP","REFUND","No","return_cancelled","web"
"11 Dec 2023","12 Dec 2023","R_NS0R81702301888986","For testing the feature ","9009009001","DUMSMDYU6UYS","REFUND","No","return_cancelled","web"
"13 Dec 2023","13 Dec 2023","R_NS0GR1698320686376_1","Pickup failed five","9591568469","DUMCK3JTPT12","REFUND","Yes","return_cancelled","dashboard"
"14 Dec 2023","14 Dec 2023","R_NS0MO1702488951802","clubbed order standing two ","9591568469","DUMX1IW3Y0XV","REFUND","Yes","return_dispatched","web"
"14 Dec 2023","14 Dec 2023","R_NS2WH1702018593161","Nitin Testing Five","9591568469","DUM1HXD8Z6ZO","REFUND","No","return_dispatched","dashboard"
"14 Dec 2023","14 Dec 2023","R_NS0QO1702551878319","singlle is on role wiuyhjkx","9591568469","DUMESXLY53WV","REFUND","No","return_dispatched","web"
"15 Dec 2023","15 Dec 2023","R_NS0XB1702622197513","Return Testing gfff","9591568469","DUMG0U0ZKTIJ","REFUND","No","return_delivered","web"
"15 Dec 2023","17 Dec 2023","R_NS0001702638507653","Catalogue Fix Two","9591568469","DUMN3ZJXRKNT","REFUND","Yes","pickup_pending","web"
"15 Dec 2023","15 Dec 2023","R_NS2XU1702642624114","catalogue orders ","9591568469","DUM23L2ZGF0O","REFUND","Yes","return_delivered","web"
"15 Dec 2023","15 Dec 2023","R_NS1CZ1702642624114","catalogue orders ","9591568469","DUMAXRTBLQD3","REFUND","No","return_dispatched","web"
